GEO ID,County,State Abbreviation,State,Year,County PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55+ PrEP-to-Need Ratio
6009,Calaveras County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6011,Colusa County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6013,Contra Costa County,CA,California,2018,4.87,5.14,2.86,3.73,5.26,5.45,5.29,4.6
6015,Del Norte County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6017,El Dorado County,CA,California,2018,9.67,-1,-1,-1,-1,-1,-1,-1
6019,Fresno County,CA,California,2018,2.2,2.26,1.65,1.66,2.77,2.48,2,2.78
6021,Glenn County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6023,Humboldt County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6025,Imperial County,CA,California,2018,5.05,5.69,0.83,-1,-1,-1,-1,-1
6027,Inyo County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6029,Kern County,CA,California,2018,3.13,3.03,4.13,-1,3.67,2.69,3.32,-1
6031,Kings County,CA,California,2018,2.72,-1,-1,-1,-1,-1,-1,-1
6033,Lake County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6035,Lassen County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6037,Los Angeles County,CA,California,2018,5.47,5.72,2.7,2.92,5.39,6.73,7.3,7.08
6039,Madera County,CA,California,2018,4,-1,-1,-1,-1,-1,-1,-1
6041,Marin County,CA,California,2018,11.06,-1,-1,-1,-1,-1,-1,-1
6043,Mariposa County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6045,Mendocino County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6047,Merced County,CA,California,2018,2.73,-1,-1,3.2,-1,-1,-1,-1
6049,Modoc County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6051,Mono County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6053,Monterey County,CA,California,2018,3.04,-1,-1,2.5,5,3.15,1.22,2.6
6055,Napa County,CA,California,2018,7.22,-1,-1,-1,-1,-1,-1,-1
6057,Nevada County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6059,Orange County,CA,California,2018,4.99,5.27,2.19,4.05,5.36,5.22,6.11,4.77
6061,Placer County,CA,California,2018,7.06,-1,-1,4.4,-1,-1,-1,-1
6063,Plumas County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6065,Riverside County,CA,California,2018,4.01,4.12,2.41,2.83,3.3,3.5,4.1,7.03
6067,Sacramento County,CA,California,2018,4.94,5.43,2.19,2.55,5.8,7.87,6,2.67
6069,San Benito County,CA,California,2018,3.38,-2,-2,-2,-2,-2,-2,-2
6071,San Bernardino County,CA,California,2018,2.82,3.03,1.3,1.63,3.35,4.23,2.67,2.45
6073,San Diego County,CA,California,2018,5.92,6.19,3.17,4.33,5.18,7.18,12.32,4.16
6075,San Francisco County,CA,California,2018,20.33,22.01,5.54,11.34,20.82,22.37,26.28,16.27
6077,San Joaquin County,CA,California,2018,2.75,3.18,1.08,-1,3.94,1.53,2.08,-1
6079,San Luis Obispo County,CA,California,2018,15.78,-1,-1,-1,-1,-1,-1,-1
6081,San Mateo County,CA,California,2018,10.08,11.15,2.25,-1,10.77,8.11,9.08,-1
6083,Santa Barbara County,CA,California,2018,9.85,-1,-1,7.14,17,-1,-1,3.6
6085,Santa Clara County,CA,California,2018,6.97,7.6,2.3,6.38,10.49,5.83,3.94,12.67
6087,Santa Cruz County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6089,Shasta County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6091,Sierra County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6093,Siskiyou County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6095,Solano County,CA,California,2018,5.3,5.79,2.6,-1,7.56,7,4.5,-1
6097,Sonoma County,CA,California,2018,9.39,10.35,4.8,8.8,6.86,-1,-1,-1
6099,Stanislaus County,CA,California,2018,3.19,3.5,1.57,-1,4.36,2.4,1.73,-1
6101,Sutter County,CA,California,2018,5.8,-1,-1,-1,-1,-1,-1,-1
6103,Tehama County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6105,Trinity County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6107,Tulare County,CA,California,2018,8.81,-1,-1,-1,6.8,-1,-1,-1
6109,Tuolumne County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6111,Ventura County,CA,California,2018,5.31,6.2,1.31,3.87,7.22,5.14,4.09,5.4
6113,Yolo County,CA,California,2018,8.86,-1,-1,-1,-1,-1,-1,-1
6115,Yuba County,CA,California,2018,-1,-1,-1,-1,-1,-1,-1,-1
8001,Adams County,CO,Colorado,2018,6.25,-1,-1,-1,7.61,9.56,12,-1
8003,Alamosa County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8005,Arapahoe County,CO,Colorado,2018,4.75,5.09,2.67,9,4.5,6.6,3.07,3
8007,Archuleta County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8009,Baca County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8011,Bent County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8013,Boulder County,CO,Colorado,2018,16.25,-1,-1,-1,15.17,-1,-1,-1
8014,Broomfield County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
8015,Chaffee County,CO,Colorado,2018,-1,-1,-1,-1,-1,-1,-1,-1
